2019-04-14 01:34:41.81: SIM {TimeUS : 45035312, Roll : -0.38, Pitch : -0.36, Yaw : 359.95, Alt : 31.1599998474, Lat : 49.2835701, Lng : -123.1150202, Q1 : 0.999989151955, Q2 : -0.00337988277897, Q3 : -0.00317393965088, Q4 : -0.000413644535001}
2019-04-14 01:34:41.91: SIM {TimeUS : 45135272, Roll : -0.14, Pitch : -0.19, Yaw : 359.94, Alt : 31.3299999237, Lat : 49.2835701, Lng : -123.1150203, Q1 : 0.999997675419, Q2 : -0.00129335466772, Q3 : -0.00167827773839, Q4 : -0.000461438961793}
2019-04-14 01:34:42.01: SIM {TimeUS : 45235232, Roll : 0.01, Pitch : -0.04, Yaw : 359.94, Alt : 31.5, Lat : 49.2835702, Lng : -123.1150203, Q1 : 0.999999821186, Q2 : 0.000126193190226, Q3 : -0.000384208018659, Q4 : -0.000495753833093}
2019-04-14 01:34:42.11: SIM {TimeUS : 45335192, Roll : 0.08, Pitch : 0.05, Yaw : 359.94, Alt : 31.6700000763, Lat : 49.2835702, Lng : -123.1150204, Q1 : 0.999999463558, Q2 : 0.000748870312236, Q3 : 0.000523211725522, Q4 : -0.000514902465511}
2019-04-14 01:34:42.21: SIM {TimeUS : 45435152, Roll : 0.07, Pitch : 0.11, Yaw : 359.94, Alt : 31.8500003815, Lat : 49.2835703, Lng : -123.1150205, Q1 : 0.999999165535, Q2 : 0.000678450800478, Q3 : 0.00098507956136, Q4 : -0.000522005895618}
2019-04-14 01:34:42.31: SIM {TimeUS : 45535112, Roll : 0.05, Pitch : 0.13, Yaw : 359.93, Alt : 32.0400009155, Lat : 49.2835703, Lng : -123.1150205, Q1 : 0.999999046326, Q2 : 0.000489808386192, Q3 : 0.00118544255383, Q4 : -0.000532107020263}
2019-04-14 01:34:42.41: SIM {TimeUS : 45635072, Roll : 0.04, Pitch : 0.13, Yaw : 359.93, Alt : 32.2200012207, Lat : 49.2835703, Lng : -123.1150206, Q1 : 0.999999046326, Q2 : 0.000387275737012, Q3 : 0.00121738819871, Q4 : -0.000541936198715}
2019-04-14 01:34:42.51: SIM {TimeUS : 45735032, Roll : 0.03, Pitch : 0.14, Yaw : 359.93, Alt : 32.4199981689, Lat : 49.2835703, Lng : -123.1150206, Q1 : 0.999999046326, Q2 : 0.000330065755406, Q3 : 0.00123526295647, Q4 : -0.000550258089788}
2019-04-14 01:34:42.61: SIM {TimeUS : 45834992, Roll : 0.05, Pitch : 0.15, Yaw : 359.93, Alt : 32.6100006104, Lat : 49.2835703, Lng : -123.1150207, Q1 : 0.999998807907, Q2 : 0.00047475003521, Q3 : 0.00136260082945, Q4 : -0.000539435073733}
2019-04-14 01:34:42.71: SIM {TimeUS : 45934952, Roll : 0.08, Pitch : 0.14, Yaw : 359.94, Alt : 32.8100013733, Lat : 49.2835703, Lng : -123.1150207, Q1 : 0.999998748302, Q2 : 0.000759345595725, Q3 : 0.00127304811031, Q4 : -0.000523066788446}
