2019-04-14 16:15:12.91: SIM {TimeUS : 47134472, Roll : -0.02, Pitch : 0.02, Yaw : 359.89, Alt : 37.1599998474, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999523163, Q2 : -0.000209181234823, Q3 : 0.000196238397621, Q4 : -0.000930413254537}
2019-04-14 16:15:13.01: SIM {TimeUS : 47234432, Roll : 0.0, Pitch : 0.0, Yaw : 359.89, Alt : 37.3800010681, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999582767, Q2 : -1.27420080389e-05, Q3 : 4.6929326345e-05, Q4 : -0.000925450178329}
2019-04-14 16:15:13.11: SIM {TimeUS : 47334392, Roll : 0.0, Pitch : -0.01, Yaw : 359.89, Alt : 37.6100006104, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999582767, Q2 : 3.46300657839e-05, Q3 : -0.000167793550645, Q4 : -0.000915053009521}
2019-04-14 16:15:13.21: SIM {TimeUS : 47434352, Roll : -0.01, Pitch : -0.05, Yaw : 359.89, Alt : 37.8300018311, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999523163, Q2 : -0.000116226168757, Q3 : -0.000453864020528, Q4 : -0.000904645363335}
2019-04-14 16:15:13.31: SIM {TimeUS : 47534312, Roll : -0.04, Pitch : -0.07, Yaw : 359.89, Alt : 38.0600013733, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999999284744, Q2 : -0.000436569243902, Q3 : -0.000659960031044, Q4 : -0.000907562032808}
2019-04-14 16:15:13.41: SIM {TimeUS : 47634272, Roll : -0.09, Pitch : -0.08, Yaw : 359.89, Alt : 38.2900009155, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999998986721, Q2 : -0.000796378822997, Q3 : -0.000726711296011, Q4 : -0.000930329493713}
2019-04-14 16:15:13.51: SIM {TimeUS : 47734232, Roll : -0.11, Pitch : -0.08, Yaw : 359.89, Alt : 38.5200004578, Lat : 49.2835704, Lng : -123.1150207, Q1 : 0.999998748302, Q2 : -0.00103532779031, Q3 : -0.000740882358514, Q4 : -0.000959113473073}
2019-04-14 16:15:13.61: SIM {TimeUS : 47834192, Roll : -0.12, Pitch : -0.07, Yaw : 359.88, Alt : 38.7400016785, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999998688698, Q2 : -0.0011095587397, Q3 : -0.000682083016727, Q4 : -0.000986556406133}
2019-04-14 16:15:13.71: SIM {TimeUS : 47934152, Roll : -0.11, Pitch : -0.05, Yaw : 359.88, Alt : 38.9700012207, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999998867512, Q2 : -0.000973873306066, Q3 : -0.00048435467761, Q4 : -0.00101776444353}
2019-04-14 16:15:13.81: SIM {TimeUS : 48034112, Roll : -0.08, Pitch : -0.04, Yaw : 359.87, Alt : 39.2000007629, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.99999910593, Q2 : -0.000733115070034, Q3 : -0.00041631856584, Q4 : -0.00104983407073}
2019-04-14 16:15:13.91: SIM {TimeUS : 48134072, Roll : -0.06, Pitch : -0.05, Yaw : 359.87, Alt : 39.4300003052, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999999165535, Q2 : -0.000543832662515, Q3 : -0.000449998333352, Q4 : -0.0010907643009}
2019-04-14 16:15:14.01: SIM {TimeUS : 48234032, Roll : -0.05, Pitch : -0.03, Yaw : 359.87, Alt : 39.6599998474, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.99999922514, Q2 : -0.000442647666205, Q3 : -0.000313962635119, Q4 : -0.00112710054964}
2019-04-14 16:15:14.12: SIM {TimeUS : 48334825, Roll : -0.06, Pitch : 0.0, Yaw : 359.86, Alt : 39.9000015259, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.999999165535, Q2 : -0.000567962764762, Q3 : -7.00824457454e-05, Q4 : -0.00115998717956}
2019-04-14 16:15:14.21: SIM {TimeUS : 48434785, Roll : -0.07, Pitch : 0.01, Yaw : 359.86, Alt : 40.1300010681, Lat : 49.2835704, Lng : -123.1150206, Q1 : 0.99999910593, Q2 : -0.000618843827397, Q3 : 0.000169521896169, Q4 : -0.00119125598576}
