Roll,Pitch,Yaw,Alt,Lat,Lng,Index
-0.06,-0.02,359.89,38.2999992371,49.2835704,-123.1150206,77
-0.09,0.0,359.88,38.5299987793,49.2835704,-123.1150206,78
-0.09,0.0,359.88,38.75,49.2835704,-123.1150206,79
-0.07,0.03,359.88,38.9799995422,49.2835706,-123.1150207,80
-0.04,0.02,359.88,39.2099990845,49.2835706,-123.1150207,81
-0.01,0.02,359.88,39.4399986267,49.2835706,-123.1150207,82
0.02,0.03,359.88,39.6699981689,49.2835706,-123.1150207,83
0.06,0.07,359.88,39.909999847399995,49.2835706,-123.1150207,84
0.09,0.1,359.87,40.1399993896,49.2835706,-123.1150207,85
0.08,0.14,359.87,40.3699989319,49.2835706,-123.1150207,86
0.03,0.17,359.87,40.5999984741,49.2835706,-123.1150207,87
-0.01,0.19,359.87,40.8300018311,49.2835706,-123.1150207,88
