2019-04-03 21:31:29.80: SIM {TimeUS : 194816209, Roll : 0.05, Pitch : 0.0, Yaw : 352.94, Alt : 587.609985352, Lat : -35.3632607, Lng : 149.1652294, Q1 : 0.998105764389, Q2 : 0.000509525998496, Q3 : -5.44483627891e-05, Q4 : -0.0615195669234}
2019-04-03 21:31:29.90: SIM {TimeUS : 194916169, Roll : 0.02, Pitch : 0.01, Yaw : 352.94, Alt : 587.820007324, Lat : -35.3632607, Lng : 149.1652294, Q1 : 0.998104453087, Q2 : 0.000246784562478, Q3 : 7.36843285267e-05, Q4 : -0.0615421161056}
2019-04-03 21:31:30.00: SIM {TimeUS : 195016129, Roll : 0.0, Pitch : 0.0, Yaw : 352.93, Alt : 588.030029297, Lat : -35.3632607, Lng : 149.1652294, Q1 : 0.998102426529, Q2 : -6.50582660455e-05, Q3 : 4.95190433867e-05, Q4 : -0.061575461179}
2019-04-03 21:31:30.10: SIM {TimeUS : 195116089, Roll : -0.02, Pitch : 0.0, Yaw : 352.93, Alt : 588.239990234, Lat : -35.3632607, Lng : 149.1652294, Q1 : 0.998099446297, Q2 : -0.00018005783204, Q3 : -2.44903785642e-05, Q4 : -0.061623994261}
2019-04-03 21:31:30.20: SIM {TimeUS : 195216049, Roll : -0.02, Pitch : -0.03, Yaw : 352.92, Alt : 588.450012207, Lat : -35.3632607, Lng : 149.1652294, Q1 : 0.998096048832, Q2 : -0.000261419889284, Q3 : -0.000281670450931, Q4 : -0.0616775043309}
2019-04-03 21:31:30.30: SIM {TimeUS : 195316009, Roll : -0.03, Pitch : -0.07, Yaw : 352.92, Alt : 588.659973145, Lat : -35.3632607, Lng : 149.1652293, Q1 : 0.99809217453, Q2 : -0.000345186737832, Q3 : -0.000634004827589, Q4 : -0.0617373734713}
2019-04-03 21:31:30.40: SIM {TimeUS : 195415969, Roll : -0.05, Pitch : -0.11, Yaw : 352.91, Alt : 588.869995117, Lat : -35.3632607, Lng : 149.1652293, Q1 : 0.998088419437, Q2 : -0.000505727599375, Q3 : -0.00100263149943, Q4 : -0.0617913492024}
2019-04-03 21:31:30.50: SIM {TimeUS : 195515929, Roll : -0.07, Pitch : -0.14, Yaw : 352.9, Alt : 589.090026855, Lat : -35.3632607, Lng : 149.1652293, Q1 : 0.998084306717, Q2 : -0.000705270504113, Q3 : -0.00120425561909, Q4 : -0.0618523173034}
2019-04-03 21:31:30.60: SIM {TimeUS : 195615889, Roll : -0.1, Pitch : -0.16, Yaw : 352.89, Alt : 589.309997559, Lat : -35.3632607, Lng : 149.1652293, Q1 : 0.998079359531, Q2 : -0.000977469375357, Q3 : -0.00136414146982, Q4 : -0.061925727874}
2019-04-03 21:31:30.70: SIM {TimeUS : 195715849, Roll : -0.13, Pitch : -0.15, Yaw : 352.89, Alt : 589.520019531, Lat : -35.3632605, Lng : 149.1652293, Q1 : 0.998074054718, Q2 : -0.00129324849695, Q3 : -0.00128221011255, Q4 : -0.0620079487562}
