2019-04-03 20:07:56.10: SIM {TimeUS : 121716294, Roll : -0.21, Pitch : 0.24, Yaw : 352.95, Alt : 585.320007324, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998108148575, Q2 : -0.00171362492256, Q3 : 0.00223335786723, Q4 : -0.061418492347}
2019-04-03 20:07:56.20: SIM {TimeUS : 121816254, Roll : -0.29, Pitch : 0.99, Yaw : 352.95, Alt : 585.469970703, Lat : -35.363261, Lng : 149.1652298, Q1 : 0.998069703579, Q2 : -0.00206629442982, Q3 : 0.0088010057807, Q4 : -0.0614428445697}
2019-04-03 20:07:56.30: SIM {TimeUS : 121916214, Roll : -0.44, Pitch : 2.05, Yaw : 352.94, Alt : 585.609985352, Lat : -35.363261, Lng : 149.1652298, Q1 : 0.99794203043, Q2 : -0.00280706305057, Q3 : 0.018097018823, Q4 : -0.0614515095949}
2019-04-03 20:07:56.40: SIM {TimeUS : 122016174, Roll : -0.63, Pitch : 3.23, Yaw : 352.93, Alt : 585.739990234, Lat : -35.363261, Lng : 149.1652298, Q1 : 0.997695446014, Q2 : -0.00381837249734, Q3 : 0.0285467859358, Q4 : -0.0614353083074}
2019-04-03 20:07:56.49: SIM {TimeUS : 122116134, Roll : -0.86, Pitch : 4.43, Yaw : 352.92, Alt : 585.849975586, Lat : -35.363261, Lng : 149.1652298, Q1 : 0.997337520123, Q2 : -0.00511677190661, Q3 : 0.0390386395156, Q4 : -0.0613822452724}
2019-04-03 20:07:56.59: SIM {TimeUS : 122216094, Roll : -1.09, Pitch : 5.51, Yaw : 352.91, Alt : 585.960021973, Lat : -35.363261, Lng : 149.1652298, Q1 : 0.996914088726, Q2 : -0.00653815222904, Q3 : 0.0486203767359, Q4 : -0.0612830109894}
2019-04-03 20:07:56.69: SIM {TimeUS : 122316054, Roll : -1.27, Pitch : 6.41, Yaw : 352.9, Alt : 586.059997559, Lat : -35.3632613, Lng : 149.1652297, Q1 : 0.996495246887, Q2 : -0.00764362327754, Q3 : 0.0565580278635, Q4 : -0.0611554719508}
2019-04-03 20:07:56.79: SIM {TimeUS : 122416014, Roll : -1.4, Pitch : 7.09, Yaw : 352.9, Alt : 586.150024414, Lat : -35.3632616, Lng : 149.1652297, Q1 : 0.996140003204, Q2 : -0.00834459345788, Q3 : 0.0625509694219, Q4 : -0.0610158778727}
2019-04-03 20:07:56.89: SIM {TimeUS : 122515974, Roll : -1.47, Pitch : 7.61, Yaw : 352.9, Alt : 586.229980469, Lat : -35.363262, Lng : 149.1652296, Q1 : 0.995854496956, Q2 : -0.00867729634047, Q3 : 0.067023858428, Q4 : -0.0608797296882}
2019-04-03 20:07:56.99: SIM {TimeUS : 122615934, Roll : -1.54, Pitch : 8.0, Yaw : 352.91, Alt : 586.299987793, Lat : -35.3632625, Lng : 149.1652296, Q1 : 0.995623469353, Q2 : -0.00910427607596, Q3 : 0.0704500004649, Q4 : -0.0607272982597}
