2019-04-03 20:23:39.90: SIM {TimeUS : 168915740, Roll : -0.07, Pitch : -0.07, Yaw : 352.99, Alt : 584.309997559, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998132526875, Q2 : -0.000686053419486, Q3 : -0.000617948709987, Q4 : -0.0610787384212}
2019-04-03 20:23:40.00: SIM {TimeUS : 169015700, Roll : -0.18, Pitch : -0.19, Yaw : 352.99, Alt : 584.440002441, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998127281666, Q2 : -0.00168988993391, Q3 : -0.00158157502301, Q4 : -0.0611282400787}
2019-04-03 20:23:40.09: SIM {TimeUS : 169115660, Roll : -0.28, Pitch : -0.29, Yaw : 352.98, Alt : 584.590026855, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998119354248, Q2 : -0.00261720782146, Q3 : -0.00245474535041, Q4 : -0.0611955188215}
2019-04-03 20:23:40.20: SIM {TimeUS : 169216453, Roll : -0.33, Pitch : -0.35, Yaw : 352.97, Alt : 584.75, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998112261295, Q2 : -0.00306905736215, Q3 : -0.0029044165276, Q4 : -0.0612710528076}
2019-04-03 20:23:40.30: SIM {TimeUS : 169316413, Roll : -0.29, Pitch : -0.31, Yaw : 352.96, Alt : 584.900024414, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998109519482, Q2 : -0.00275781215169, Q3 : -0.00259646959603, Q4 : -0.061344448477}
2019-04-03 20:23:40.40: SIM {TimeUS : 169416373, Roll : -0.21, Pitch : -0.23, Yaw : 352.95, Alt : 585.049987793, Lat : -35.363261, Lng : 149.1652299, Q1 : 0.998108565807, Q2 : -0.00203670654446, Q3 : -0.00191101210658, Q4 : -0.0614122413099}
2019-04-03 20:23:40.50: SIM {TimeUS : 169516333, Roll : -0.12, Pitch : -0.13, Yaw : 352.95, Alt : 585.210021973, Lat : -35.363261, Lng : 149.1652298, Q1 : 0.998108029366, Q2 : -0.00115083984565, Q3 : -0.00108387321234, Q4 : -0.0614644885063}
2019-04-03 20:23:40.60: SIM {TimeUS : 169616293, Roll : -0.05, Pitch : -0.05, Yaw : 352.94, Alt : 585.369995117, Lat : -35.363261, Lng : 149.1652298, Q1 : 0.998106598854, Q2 : -0.00051595561672, Q3 : -0.000463255273644, Q4 : -0.0615044385195}
2019-04-03 20:23:40.70: SIM {TimeUS : 169716253, Roll : 0.0, Pitch : 0.0, Yaw : 352.94, Alt : 585.539978027, Lat : -35.3632609, Lng : 149.1652298, Q1 : 0.998105049133, Q2 : -7.5901276432e-05, Q3 : 7.33339838916e-05, Q4 : -0.0615329816937}
2019-04-03 20:23:40.80: SIM {TimeUS : 169816213, Roll : 0.04, Pitch : 0.05, Yaw : 352.94, Alt : 585.710021973, Lat : -35.3632609, Lng : 149.1652298, Q1 : 0.998104035854, Q2 : 0.000394072325435, Q3 : 0.000426794984378, Q4 : -0.0615472458303}
2019-04-03 20:23:40.90: SIM {TimeUS : 169916173, Roll : 0.08, Pitch : 0.1, Yaw : 352.94, Alt : 585.880004883, Lat : -35.3632609, Lng : 149.1652298, Q1 : 0.998103260994, Q2 : 0.000839635904413, Q3 : 0.000894605356734, Q4 : -0.0615496560931}
2019-04-03 20:23:41.00: SIM {TimeUS : 170016133, Roll : 0.07, Pitch : 0.14, Yaw : 352.94, Alt : 586.039978027, Lat : -35.3632609, Lng : 149.1652298, Q1 : 0.998103380203, Q2 : 0.000741451221984, Q3 : 0.00125435227528, Q4 : -0.0615433044732}
2019-04-03 20:23:41.10: SIM {TimeUS : 170116093, Roll : -0.11, Pitch : 0.11, Yaw : 352.94, Alt : 586.190002441, Lat : -35.3632609, Lng : 149.1652298, Q1 : 0.998104274273, Q2 : -0.000903921492863, Q3 : 0.00104780320544, Q4 : -0.0615305453539}
2019-04-03 20:23:41.20: SIM {TimeUS : 170216053, Roll : -0.56, Pitch : -0.02, Yaw : 352.94, Alt : 586.33001709, Lat : -35.3632609, Lng : 149.1652297, Q1 : 0.998094022274, Q2 : -0.00492385495454, Q3 : 9.48243250605e-05, Q4 : -0.0615157410502}
2019-04-03 20:23:41.30: SIM {TimeUS : 170316013, Roll : -1.26, Pitch : -0.21, Yaw : 352.95, Alt : 586.450012207, Lat : -35.3632609, Lng : 149.1652297, Q1 : 0.998044252396, Q2 : -0.0111335134134, Q3 : -0.00118074228521, Q4 : -0.0615003593266}
2019-04-03 20:23:41.40: SIM {TimeUS : 170415973, Roll : -2.17, Pitch : -0.43, Yaw : 352.95, Alt : 586.570007324, Lat : -35.3632609, Lng : 149.1652297, Q1 : 0.99792021513, Q2 : -0.0191620104015, Q3 : -0.00263050151989, Q4 : -0.0614914447069}
2019-04-03 20:23:41.50: SIM {TimeUS : 170515933, Roll : -3.18, Pitch : -0.65, Yaw : 352.96, Alt : 586.66998291, Lat : -35.3632608, Lng : 149.1652296, Q1 : 0.997702479362, Q2 : -0.0281184185296, Q3 : -0.00401026010513, Q4 : -0.0615068487823}
2019-04-03 20:23:41.60: SIM {TimeUS : 170615893, Roll : -4.13, Pitch : -0.85, Yaw : 352.96, Alt : 586.760009766, Lat : -35.3632608, Lng : 149.1652293, Q1 : 0.997422516346, Q2 : -0.0365009978414, Q3 : -0.00521177658811, Q4 : -0.0615534894168}
2019-04-03 20:23:41.70: SIM {TimeUS : 170715853, Roll : -4.87, Pitch : -0.99, Yaw : 352.96, Alt : 586.840026855, Lat : -35.3632608, Lng : 149.1652292, Q1 : 0.997153878212, Q2 : -0.0430014133453, Q3 : -0.00606523640454, Q4 : -0.0616304017603}
2019-04-03 20:23:41.80: SIM {TimeUS : 170815813, Roll : -5.4, Pitch : -1.14, Yaw : 352.97, Alt : 586.900024414, Lat : -35.3632608, Lng : 149.1652289, Q1 : 0.996928572655, Q2 : -0.0477090068161, Q3 : -0.0070566968061, Q4 : -0.0617047846317}
