2019-04-03 20:04:24.60: SIM {TimeUS : 84616140, Roll : -1.81, Pitch : 8.72, Yaw : 352.88, Alt : 587.739990234, Lat : -35.3632675, Lng : 149.1652293, Q1 : 0.995127856731, Q2 : -0.011077192612, Q3 : 0.0769321471453, Q4 : -0.0606568679214}
2019-04-03 20:04:24.70: SIM {TimeUS : 84716100, Roll : -1.47, Pitch : 9.11, Yaw : 352.3, Alt : 587.789978027, Lat : -35.3632684, Lng : 149.1652292, Q1 : 0.994575560093, Q2 : -0.00748919183388, Q3 : 0.080161742866, Q4 : -0.0658594146371}
2019-04-03 20:04:24.80: SIM {TimeUS : 84816060, Roll : -1.05, Pitch : 9.62, Yaw : 350.5, Alt : 587.83001709, Lat : -35.3632696, Lng : 149.1652291, Q1 : 0.993077635765, Q2 : -0.00215959642082, Q3 : 0.0843771472573, Q4 : -0.0816861987114}
2019-04-03 20:04:24.90: SIM {TimeUS : 84916020, Roll : -1.02, Pitch : 10.12, Yaw : 347.05, Alt : 587.869995117, Lat : -35.3632708, Lng : 149.1652289, Q1 : 0.989798486233, Q2 : 0.00111151463352, Q3 : 0.0886695533991, Q4 : -0.111514091492}
2019-04-03 20:04:25.00: SIM {TimeUS : 85015980, Roll : -1.65, Pitch : 10.43, Yaw : 341.98, Alt : 587.909973145, Lat : -35.3632722, Lng : 149.1652289, Q1 : 0.98367446661, Q2 : 5.55196093046e-05, Q3 : 0.0920447781682, Q4 : -0.154636055231}
2019-04-03 20:04:25.10: SIM {TimeUS : 85115940, Roll : -2.97, Pitch : 10.4, Yaw : 335.55, Alt : 587.950012207, Lat : -35.3632735, Lng : 149.1652289, Q1 : 0.973468840122, Q2 : -0.00607530632988, Q3 : 0.0940720066428, Q4 : -0.20849943161}
2019-04-03 20:04:25.20: SIM {TimeUS : 85215900, Roll : -4.82, Pitch : 9.92, Yaw : 328.1, Alt : 588.0, Lat : -35.363275, Lng : 149.1652289, Q1 : 0.958049893379, Q2 : -0.0166053324938, Q3 : 0.0946173220873, Q4 : -0.270022839308}
2019-04-03 20:04:25.30: SIM {TimeUS : 85315860, Roll : -6.94, Pitch : 8.95, Yaw : 319.97, Alt : 588.039978027, Lat : -35.3632765, Lng : 149.1652289, Q1 : 0.936651587486, Q2 : -0.0300675239414, Q3 : 0.0938834697008, Q4 : -0.336103528738}
2019-04-03 20:04:25.40: SIM {TimeUS : 85415820, Roll : -9.01, Pitch : 7.53, Yaw : 311.49, Alt : 588.090026855, Lat : -35.363278, Lng : 149.1652289, Q1 : 0.909091353416, Q2 : -0.0445771962404, Q3 : 0.09191390872, Q4 : -0.403878331184}
2019-04-03 20:04:25.50: SIM {TimeUS : 85515780, Roll : -10.78, Pitch : 5.76, Yaw : 302.94, Alt : 588.140014648, Lat : -35.3632798, Lng : 149.1652289, Q1 : 0.875840246677, Q2 : -0.0585877411067, Q3 : 0.0887941494584, Q4 : -0.470730245113}
2019-04-03 20:04:25.60: SIM {TimeUS : 85615740, Roll : -12.14, Pitch : 3.77, Yaw : 294.55, Alt : 588.200012207, Lat : -35.3632816, Lng : 149.1652289, Q1 : 0.838015198708, Q2 : -0.0712505653501, Q3 : 0.0847247689962, Q4 : -0.534299194813}
2019-04-03 20:04:25.70: SIM {TimeUS : 85715700, Roll : -13.03, Pitch : 1.74, Yaw : 286.53, Alt : 588.260009766, Lat : -35.3632835, Lng : 149.1652289, Q1 : 0.797179043293, Q2 : -0.0818912088871, Q3 : 0.0799619928002, Q4 : -0.592794716358}
2019-04-03 20:04:25.79: SIM {TimeUS : 85815660, Roll : -13.46, Pitch : -0.2, Yaw : 278.98, Alt : 588.320007324, Lat : -35.3632854, Lng : 149.1652289, Q1 : 0.754951953888, Q2 : -0.0903068706393, Q3 : 0.0748014450073, Q4 : -0.645210802555}
2019-04-03 20:04:25.90: SIM {TimeUS : 85916453, Roll : -13.56, Pitch : -2.01, Yaw : 271.93, Alt : 588.380004883, Lat : -35.3632876, Lng : 149.1652288, Q1 : 0.71232843399, Q2 : -0.0970456674695, Q3 : 0.0695112496614, Q4 : -0.691620230675}
2019-04-03 20:04:26.00: SIM {TimeUS : 86016413, Roll : -13.43, Pitch : -3.59, Yaw : 265.46, Alt : 588.440002441, Lat : -35.3632896, Lng : 149.1652286, Q1 : 0.67088329792, Q2 : -0.102201521397, Q3 : 0.0647837147117, Q4 : -0.731623888016}
2019-04-03 20:04:26.10: SIM {TimeUS : 86116373, Roll : -13.17, Pitch : -4.9, Yaw : 259.46, Alt : 588.510009766, Lat : -35.3632919, Lng : 149.1652284, Q1 : 0.630648195744, Q2 : -0.105954885483, Q3 : 0.0609773658216, Q4 : -0.766379952431}
2019-04-03 20:04:26.20: SIM {TimeUS : 86216333, Roll : -12.82, Pitch : -6.0, Yaw : 253.86, Alt : 588.58001709, Lat : -35.3632943, Lng : 149.1652282, Q1 : 0.59160220623, Q2 : -0.108672708273, Q3 : 0.057889290154, Q4 : -0.796772122383}
2019-04-03 20:04:26.30: SIM {TimeUS : 86316293, Roll : -12.44, Pitch : -6.97, Yaw : 248.54, Alt : 588.650024414, Lat : -35.3632966, Lng : 149.1652279, Q1 : 0.55331581831, Q2 : -0.110900573432, Q3 : 0.055400762707, Q4 : -0.823695063591}
2019-04-03 20:04:26.40: SIM {TimeUS : 86416253, Roll : -12.04, Pitch : -7.87, Yaw : 243.39, Alt : 588.719970703, Lat : -35.3632991, Lng : 149.1652275, Q1 : 0.515138506889, Q2 : -0.113100089133, Q3 : 0.0531838051975, Q4 : -0.847945928574}
2019-04-03 20:04:26.50: SIM {TimeUS : 86516213, Roll : -11.58, Pitch : -8.76, Yaw : 238.28, Alt : 588.799987793, Lat : -35.3633017, Lng : 149.1652274, Q1 : -0.476347446442, Q2 : 0.115391075611, Q3 : -0.0508293434978, Q4 : 0.87016916275}
