2019-09-29 18:28:31.29: SIM {TimeUS : 43928255, Roll : -0.32, Pitch : -0.33, Yaw : 170.0, Alt : 87.3799972534, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.0871064886451, Q2 : 0.00268031726591, Q3 : -0.00310294004157, Q4 : 0.996190607548}
2019-09-29 18:28:31.39: SIM {TimeUS : 44028215, Roll : -0.54, Pitch : -0.55, Yaw : 170.01, Alt : 87.5400009155, Lat : 69.7758389, Lng : 19.5489289, Q1 : 0.0870462432504, Q2 : 0.00439133495092, Q3 : -0.0051558855921, Q4 : 0.996181249619}
2019-09-29 18:28:31.49: SIM {TimeUS : 44128175, Roll : -0.65, Pitch : -0.63, Yaw : 170.02, Alt : 87.7300033569, Lat : 69.7758389, Lng : 19.5489291, Q1 : 0.0869688689709, Q2 : 0.00500856759027, Q3 : -0.00615245616063, Q4 : 0.996179461479}
2019-09-29 18:28:31.60: SIM {TimeUS : 44228968, Roll : -0.62, Pitch : -0.58, Yaw : 170.03, Alt : 87.9100036621, Lat : 69.7758389, Lng : 19.5489291, Q1 : 0.0868835225701, Q2 : 0.00457866350189, Q3 : -0.00591739732772, Q4 : 0.996190369129}
2019-09-29 18:28:31.70: SIM {TimeUS : 44328928, Roll : -0.49, Pitch : -0.43, Yaw : 170.04, Alt : 88.0999984741, Lat : 69.7758389, Lng : 19.5489292, Q1 : 0.0867981091142, Q2 : 0.00337247527204, Q3 : -0.00462380843237, Q4 : 0.996209442616}
2019-09-29 18:28:31.80: SIM {TimeUS : 44428888, Roll : -0.3, Pitch : -0.25, Yaw : 170.05, Alt : 88.2799987793, Lat : 69.7758389, Lng : 19.5489294, Q1 : 0.0867159739137, Q2 : 0.00198476179503, Q3 : -0.00284721679054, Q4 : 0.996227025986}
2019-09-29 18:28:31.90: SIM {TimeUS : 44528848, Roll : -0.12, Pitch : -0.09, Yaw : 170.05, Alt : 88.4700012207, Lat : 69.7758389, Lng : 19.5489295, Q1 : 0.0866409242153, Q2 : 0.000747214537114, Q3 : -0.00117011088878, Q4 : 0.996238648891}
2019-09-29 18:28:32.00: SIM {TimeUS : 44628808, Roll : 0.0, Pitch : 0.01, Yaw : 170.06, Alt : 88.6600036621, Lat : 69.7758389, Lng : 19.5489297, Q1 : 0.0865819230676, Q2 : -0.000165219811606, Q3 : -6.89144653734e-05, Q4 : 0.996244728565}
2019-09-29 18:28:32.10: SIM {TimeUS : 44728768, Roll : 0.02, Pitch : 0.06, Yaw : 170.07, Alt : 88.8600006104, Lat : 69.7758389, Lng : 19.5489298, Q1 : 0.0865422487259, Q2 : -0.000580148305744, Q3 : 0.00031215918716, Q4 : 0.996247947216}
2019-09-29 18:28:32.20: SIM {TimeUS : 44828728, Roll : 0.01, Pitch : 0.05, Yaw : 170.07, Alt : 89.0599975586, Lat : 69.7758388, Lng : 19.5489298, Q1 : 0.0865233018994, Q2 : -0.000455377652543, Q3 : 0.000134821049869, Q4 : 0.996249735355}
2019-09-29 18:28:32.30: SIM {TimeUS : 44928688, Roll : -0.01, Pitch : 0.0, Yaw : 170.07, Alt : 89.2600021362, Lat : 69.7758388, Lng : 19.54893, Q1 : 0.0865187346935, Q2 : -0.000100618075521, Q3 : -0.000157697009854, Q4 : 0.996250271797}
2019-09-29 18:28:32.39: SIM {TimeUS : 45028648, Roll : -0.03, Pitch : -0.02, Yaw : 170.07, Alt : 89.4599990845, Lat : 69.7758388, Lng : 19.5489301, Q1 : 0.0865206792951, Q2 : 0.000204842290259, Q3 : -0.000297072896501, Q4 : 0.996250033379}
2019-09-29 18:28:32.49: SIM {TimeUS : 45128608, Roll : 0.0, Pitch : -0.04, Yaw : 170.07, Alt : 89.6699981689, Lat : 69.7758388, Lng : 19.5489301, Q1 : 0.0865390449762, Q2 : 0.000395708048018, Q3 : -3.2560161344e-05, Q4 : 0.996248364449}
2019-09-29 18:28:32.59: SIM {TimeUS : 45228568, Roll : 0.04, Pitch : -0.05, Yaw : 170.06, Alt : 89.8799972534, Lat : 69.7758387, Lng : 19.5489303, Q1 : 0.0865676254034, Q2 : 0.000496905646287, Q3 : 0.000379686272936, Q4 : 0.996245801449}
