2019-04-14 18:35:57.31: SIM {TimeUS : 43734999, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1599998474, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -1.98605584956e-06}
2019-04-14 18:35:57.41: SIM {TimeUS : 43834959, Roll : 0.0, Pitch : 0.0, Yaw : 359.99, Alt : 30.1900005341, Lat : 49.28357, Lng : -123.11502, Q1 : 1.0, Q2 : 0.0, Q3 : 0.0, Q4 : -2.21023560698e-06}
2019-04-14 18:35:57.51: SIM {TimeUS : 43934919, Roll : -0.03, Pitch : -0.03, Yaw : 359.99, Alt : 30.2299995422, Lat : 49.28357, Lng : -123.11502, Q1 : 0.999999940395, Q2 : -0.000321156956488, Q3 : -0.000291508622468, Q4 : -5.24404504176e-06}
2019-04-14 18:35:57.61: SIM {TimeUS : 44034879, Roll : -0.28, Pitch : -0.26, Yaw : 359.99, Alt : 30.3099994659, Lat : 49.28357, Lng : -123.11502, Q1 : 0.999994277954, Q2 : -0.00249600806274, Q3 : -0.00227586086839, Q4 : -2.96447451547e-05}
2019-04-14 18:35:57.71: SIM {TimeUS : 44134839, Roll : -0.59, Pitch : -0.54, Yaw : 359.99, Alt : 30.4400005341, Lat : 49.28357, Lng : -123.11502, Q1 : 0.999975323677, Q2 : -0.00519302254543, Q3 : -0.00473719788715, Q4 : -8.39475178509e-05}
2019-04-14 18:35:57.81: SIM {TimeUS : 44234799, Roll : -0.81, Pitch : -0.72, Yaw : 359.98, Alt : 30.6000003815, Lat : 49.28357, Lng : -123.11502, Q1 : 0.999954521656, Q2 : -0.00710356701165, Q3 : -0.00636437814683, Q4 : -0.000159513234394}
2019-04-14 18:35:57.91: SIM {TimeUS : 44334759, Roll : -0.86, Pitch : -0.76, Yaw : 359.97, Alt : 30.75, Lat : 49.28357, Lng : -123.11502, Q1 : 0.999948978424, Q2 : -0.00757018709555, Q3 : -0.00668196100742, Q4 : -0.000242415262619}
2019-04-14 18:35:58.01: SIM {TimeUS : 44434719, Roll : -0.75, Pitch : -0.68, Yaw : 359.96, Alt : 30.9099998474, Lat : 49.28357, Lng : -123.1150201, Q1 : 0.999960660934, Q2 : -0.00657363189384, Q3 : -0.00594847323373, Q4 : -0.000331080140313}
2019-04-14 18:35:58.12: SIM {TimeUS : 44535512, Roll : -0.54, Pitch : -0.5, Yaw : 359.95, Alt : 31.0599994659, Lat : 49.2835701, Lng : -123.1150202, Q1 : 0.999979019165, Q2 : -0.00471997214481, Q3 : -0.00441226037219, Q4 : -0.000413780100644}
2019-04-14 18:35:58.21: SIM {TimeUS : 44635472, Roll : -0.31, Pitch : -0.29, Yaw : 359.94, Alt : 31.2199993134, Lat : 49.2835701, Lng : -123.1150202, Q1 : 0.999992728233, Q2 : -0.00277647515759, Q3 : -0.00256776483729, Q4 : -0.000475875975098}
